"","verbatimLongitude","verbatimLatitude","url","key","observation_type","name","country","state_province","begin_date","end_date","source","remote_resource","locality","coordinate_uncertainty_in_meters","recorded_by","last_modified","prov"
"1",-119.6433,37.549,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:23655/","MVZ:Mamm:23655","specimen","Puma concolor californica","United States","California",1916-01-20,"1916-01-20T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:23655","Wawona, Yosemite National Park",1609,"Collector(s): Jay C. Bruce","2015-02-05T03:56:00.385730","ecoengine"
"2",-118.1078,35.6078,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:59972/","MVZ:Mamm:59972","specimen","Puma concolor californica","United States","California",1932-02-01,"1932-02-28T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:59972","Scodie / Kaviah Mt., E of Onyx",3218,"Collector(s): Raymond M. Gilmore, F. H. Rose, et al.","2015-02-05T04:43:04.199827","ecoengine"
"3",-120.0743,37.7554,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:31242/","MVZ:Mamm:31242","specimen","Puma concolor californica","United States","California",1916-11-08,"1916-11-08T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:31242","2 mi E Dudley",576,"Collector(s): Joseph Grinnell, J. L. McLean","2015-02-05T05:11:33.501973","ecoengine"
"4",-121.6347,36.3015,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:33429/","MVZ:Mamm:33429","specimen","Puma concolor californica","United States","California",1923-04-19,"1923-04-19T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:33429","Pine Valley, Headwaters Carmel River",804,"Collector(s): Jay C. Bruce","2015-02-05T05:14:17.901857","ecoengine"
"5",-109.9035,32.622,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:50275/","MVZ:Mamm:50275","specimen","Puma concolor azteca","United States","Arizona",1931-06-20,"1931-06-20T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:50275","Big Creek, Graham Mts.",7417,"Collector(s): W. Shirley","2015-02-05T06:19:11.087948","ecoengine"
"6",-114.5578,39.2766,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:154383/","MVZ:Mamm:154383","specimen","Puma concolor kaibabensis","United States","Nevada",1968-09-18,"1968-09-18T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:154383","Black Mt., Schell Creek Range",428,"Collector(s): Carl B. Koford, G. W. Carroll","2015-02-05T06:25:37.114837","ecoengine"
"7",-118.7618,36.3506,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:34223/","MVZ:Mamm:34223","specimen","Puma concolor californica","United States","California",1924-02-16,"1924-02-16T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:34223","Clough Cave, S Fork Kaweah River",30,"Collector(s): Jay C. Bruce","2015-02-05T06:32:16.366273","ecoengine"
"8",-120.3087,38.5192,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:38340/","MVZ:Mamm:38340","specimen","Puma concolor californica","United States","California",1927-09-13,"1927-09-13T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:38340","ca. 2 mi S Lumberyard Ranger Station",804,"Collector(s): Jay C. Bruce","2015-02-05T06:50:30.923786","ecoengine"
"9",-123.4731,40.8092,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:228437/","MVZ:Mamm:228437","specimen","Puma concolor californica","United States","California",2006-06-21,"2006-06-21T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:228437","Burnt Ranch",3036,"Collector(s): John D. Perrine","2016-09-30T11:42:47.662982","ecoengine"
"10",-122.2452,37.2088,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:4919/","MVZ:Mamm:4919","specimen","Puma concolor californica","United States","California",1818-08-01,"1998-08-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:4919","head of Gazos Creek",3218,"Collector(s): John Hornung","2016-09-30T11:13:19.050510","ecoengine"
"11",NA,NA,"https://ecoengine.berkeley.edu/api/observations/UCMP:V:234285/","UCMP:V:234285","fossil","Puma concolor","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V234285&one=T","Sternberg Pit (McKittrick)",NA,"None","2016-09-30T13:30:57.998551","ecoengine"
"12",NA,NA,"https://ecoengine.berkeley.edu/api/observations/UCMP:V:238823/","UCMP:V:238823","fossil","Puma concolor","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V238823&one=T","Sternberg Pit (McKittrick)",NA,"None","2016-09-30T13:33:00.472062","ecoengine"
"13",NA,NA,"https://ecoengine.berkeley.edu/api/observations/UCMP:V:238824/","UCMP:V:238824","fossil","Puma concolor","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V238824&one=T","Sternberg Pit (McKittrick)",NA,"None","2016-09-30T13:33:00.501073","ecoengine"
"14",-119.3088,37.17,"https://ecoengine.berkeley.edu/api/observations/MVZ:Hild:343/","MVZ:Hild:343","specimen","Puma concolor ssp.","United States","California",1946-06-20,"1946-06-20T00:00:00","https://ecoengine.berkeley.edu/api/sources/16/","http://arctos.database.museum/guid/MVZ:Hild:343","Musick Park, near Shaver Lake",2062,"Collector(s): Milton Hildebrand","2018-05-23T10:50:46.904113","ecoengine"
"15",-109.2189,31.7607,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:51627/","MVZ:Mamm:51627","specimen","Puma concolor azteca","United States","Arizona",1932-03-05,"1932-03-05T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:51627","near head Shoe Canyon ca. 12 mi S Paradise, Chiricahua Mts.",15636,"Collector(s): D. D. Lee","2018-05-23T10:56:21.773375","ecoengine"
"16",NA,NA,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:217541/","MVZ:Mamm:217541","specimen","Puma concolor californica","United States","California",1984-06-18,"1984-06-18T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:217541","Shingletown",NA,"Collector(s): Monica J. Albe, Robert E. Jones","2018-05-23T10:56:28.451792","ecoengine"
"17",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:8235+3181+2555+0059:1/","CalPhotos:8235+3181+2555+0059:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=602&one=T","Kalispell, MT",1000,"","2018-05-25T11:16:42.938420","ecoengine"
"18",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:8030+3192+4155+0072:1/","CalPhotos:8030+3192+4155+0072:1","photo","Puma concolor","United States","Montana",1992-09-01,"1992-09-01T00:00:00","https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=574&one=T","Kalispell, MT",1000,"","2018-05-25T11:28:34.632280","ecoengine"
"19",NA,NA,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0310+0167:1/","CalPhotos:6666+6666+0310+0167:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=315348&one=T","Kalispell",NA,"","2018-05-25T14:33:13.700676","ecoengine"
"20",NA,NA,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:0000+0000+0901+0096:1/","CalPhotos:0000+0000+0901+0096:1","photo","Puma concolor","United States","California",2001-01-05,"2001-01-05T00:00:00","https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=106419&one=T","Along the south fork of the Eel River near Redway",NA,"","2018-05-30T13:22:17.341094","ecoengine"
"21",-118.2409,34.04,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:000142/","LACM:Mammals:000142","specimen","Puma concolor californica","United States","California",1915-05-11,"1915-05-11T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Los Angeles",1000,"None","2014-05-29T15:12:28.650107","ecoengine"
"22",-110.0239,33.3643,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:009203/","LACM:Mammals:009203","specimen","Puma concolor azteca","United States","Arizona",1945-01-01,"1945-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Ash Creek Ranch",1221,"Constantine, D G","2014-05-29T15:17:25.873121","ecoengine"
"23",-112.3943,36.2975,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:022180/","LACM:Mammals:022180","specimen","Puma concolor kaibabensis","United States","Arizona",1947-07-16,"1947-07-16T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Grand Canyon, N Rim; Powell Plateau",5808,"Durham, F E","2014-05-29T15:24:11.557448","ecoengine"
"24",-123.668,47.872,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:030110/","LACM:Mammals:030110","specimen","Puma concolor oregonensis","United States","Washington",1912-11-03,"1912-11-03T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Olympic Mts",1783,"Bryan, D C","2014-05-29T15:28:24.122847","ecoengine"
"25",-118.4076,35.5105,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:030919/","LACM:Mammals:030919","specimen","Puma concolor californica","United States","California",1938-06-04,"1938-06-04T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Piute Mts; head of Bodfish Creek",1609,"Stager, K E","2014-05-29T15:28:35.850434","ecoengine"
"26",-118.1946,35.2288,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:043284/","LACM:Mammals:043284","specimen","Puma concolor californica","United States","California",1966-04-01,"1966-04-01T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Airplane Flat (near Cache Park)",1690,"Douglas, W F","2014-05-29T15:34:54.944513","ecoengine"
"27",-117.9452,35.8427,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:043285/","LACM:Mammals:043285","specimen","Puma concolor californica","United States","California",1957-04-14,"1957-04-14T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Nine Mile Canyon; Little Lake",3299,"Douglas, W F","2014-05-29T15:34:54.977237","ecoengine"
"28",-117.9452,35.8427,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:043286/","LACM:Mammals:043286","specimen","Puma concolor californica","United States","California",1957-04-11,"1957-04-11T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Nine Mile Canyon",3299,"Douglas, W F","2014-05-29T15:34:55.009043","ecoengine"
"29",-114.4522,37.9297,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:051282/","LACM:Mammals:051282","specimen","Puma concolor kaibabensis","United States","Nevada",1950-01-01,"1950-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Pioche",1635,"Hine, B","2014-05-29T15:39:09.934803","ecoengine"
"30",-119.8242,34.4369,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:070297/","LACM:Mammals:070297","specimen","Puma concolor californica","United States","California",1976-02-07,"1976-02-07T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Goleta; Tejijiuas Ranch",1067,"Nelson, R (Calif. Fish & Game)","2014-05-29T15:49:16.341446","ecoengine"
"31",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:085437/","LACM:Mammals:085437","specimen","Puma concolor californica","United States","California",1988-04-09,"1988-04-09T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Gibralter Road",NA,"Cal Fish & Game; Campbell, J A","2014-05-29T15:57:22.436552","ecoengine"
"32",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:085438/","LACM:Mammals:085438","specimen","Puma concolor californica","United States","California",1988-02-13,"1988-02-13T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Rancho Sisquoa; Long Canyon",NA,"Cal Fish & Game; Campbell, J A","2014-05-29T15:57:22.462581","ecoengine"
"33",-120.4569,34.6411,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:085440/","LACM:Mammals:085440","specimen","Puma concolor californica","United States","California",1988-05-06,"1988-05-06T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Miguelito Canyon, Lompoc Sta.",1609,"California Fish & Game; Janiger, D S & J E Maldonado","2014-05-29T15:57:22.522040","ecoengine"
"34",-116.7014,33.1876,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:088350/","LACM:Mammals:088350","specimen","Puma concolor californica","United States","California",1978-08-07,"1978-08-07T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Highway 76, 1 mi S; on Hwy 79",1775,"US Forest Service; Gardner, M","2014-05-29T15:58:58.443191","ecoengine"
"35",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092550/","LACM:Mammals:092550","specimen","Puma concolor hippolestes","United States","Utah",1960-12-19,"1960-12-19T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Sheef Canyon",NA,"Hoy, N D","2014-05-29T16:01:03.323890","ecoengine"
"36",-110.735,39.5425,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092552/","LACM:Mammals:092552","specimen","Puma concolor hippolestes","United States","Utah",1961-01-01,"1961-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Wellington",1609,"Hoy, N D","2014-05-29T16:01:00.949460","ecoengine"
"37",-110.735,39.5425,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092553/","LACM:Mammals:092553","specimen","Puma concolor hippolestes","United States","Utah",1961-01-01,"1961-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Wellington",1609,"Hoy, N D","2014-05-29T16:01:00.982756","ecoengine"
"38",-112.191,34.9593,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092546/","LACM:Mammals:092546","specimen","Puma concolor azteca","United States","Arizona",1917-07-27,"1917-07-27T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","20 mi S Williams; Verde River",26210,"Hoy, N D","2014-05-29T16:01:03.208698","ecoengine"
"39",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092547/","LACM:Mammals:092547","specimen","Puma concolor hippolestes","United States","Utah",1960-11-14,"1960-11-14T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Avintaguin",NA,"Hoy, N D","2014-05-29T16:01:03.241005","ecoengine"
"40",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092548/","LACM:Mammals:092548","specimen","Puma concolor hippolestes","United States","Utah",1960-12-14,"1960-12-14T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Sheef Canyon",NA,"Hoy, N D","2014-05-29T16:01:03.273653","ecoengine"
"41",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092549/","LACM:Mammals:092549","specimen","Puma concolor hippolestes","United States","Utah",1960-12-19,"1960-12-19T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Sheef Canyon",NA,"Hoy, N D","2014-05-29T16:01:03.298311","ecoengine"
"42",-110.735,39.5425,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092551/","LACM:Mammals:092551","specimen","Puma concolor hippolestes","United States","Utah",1961-03-02,"1961-03-02T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Wellington",1609,"Hoy, N D","2014-05-29T16:01:03.349314","ecoengine"
"43",-107.5767,33.7692,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092545/","LACM:Mammals:092545","specimen","Puma concolor azteca","United States","New Mexico",1923-09-08,"1923-09-08T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","San Mateo Mountains; Pigeon Canyon",11265,"Hoy, N D","2014-05-29T16:01:06.491940","ecoengine"
"44",-122.1197,40.8557,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:30519/","MVZ:Mamm:30519","specimen","Puma concolor californica","United States","California",1919-04-19,"1919-04-19T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:30519","Squaw Creek",8476,"Collector(s): C. S. Wheeler Jr.","2015-02-05T03:58:37.155753","ecoengine"
"45",-120.4879,38.9294,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:38308/","MVZ:Mamm:38308","specimen","Puma concolor californica","United States","California",1927-08-11,"1927-08-11T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:38308","4 mi SE Uncle Tom's Cabin",3266,"Collector(s): Jay C. Bruce","2015-02-05T04:50:14.652186","ecoengine"
"46",NA,NA,"https://ecoengine.berkeley.edu/api/observations/UCMP:V:64523/","UCMP:V:64523","fossil","Puma concolor","United States","Nevada",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V64523&one=T","Tule Springs 3",NA,"MAWBY PARTY","2016-09-30T11:27:23.880805","ecoengine"
"47",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0034:1/","CalPhotos:6666+6666+0413+0034:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565270&one=T","Kalispell",1000,"","2014-10-17T11:21:19.155347","ecoengine"
"48",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0035:1/","CalPhotos:6666+6666+0413+0035:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565271&one=T","Kalispell",1000,"","2014-10-17T11:21:19.210328","ecoengine"
"49",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0036:1/","CalPhotos:6666+6666+0413+0036:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565272&one=T","Kalispell",1000,"","2014-10-17T11:21:19.260443","ecoengine"
"50",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0037:1/","CalPhotos:6666+6666+0413+0037:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565273&one=T","Kalispell",1000,"","2014-10-17T11:21:19.310477","ecoengine"
"51",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0038:1/","CalPhotos:6666+6666+0413+0038:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565274&one=T","Kalispell",1000,"","2014-10-17T11:21:19.360786","ecoengine"
"52",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0039:1/","CalPhotos:6666+6666+0413+0039:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565275&one=T","Kalispell",1000,"","2014-10-17T11:21:19.410833","ecoengine"
"53",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0040:1/","CalPhotos:6666+6666+0413+0040:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565276&one=T","Kalispell",1000,"","2014-10-17T11:21:19.461484","ecoengine"
"54",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0042:1/","CalPhotos:6666+6666+0413+0042:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565278&one=T","Kalispell",1000,"","2014-10-17T11:21:19.511605","ecoengine"
"55",NA,NA,"https://ecoengine.berkeley.edu/api/observations/MVZ:Hild:342/","MVZ:Hild:342","specimen","Puma concolor ssp.","United States","Washington",1952-01-01,"1952-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/16/","http://arctos.database.museum/guid/MVZ:Hild:342","from Jonas Brothers",NA,"Collector(s): unknown","2018-05-23T10:52:02.761412","ecoengine"
"56",-118.5845,35.944,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:34251/","MVZ:Mamm:34251","specimen","Puma concolor californica","United States","California",1924-03-27,"1924-03-27T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:34251","head of Packsaddle Creek",3218,"Collector(s): Jay C. Bruce","2015-02-05T00:38:33.704123","ecoengine"
"57",-119.6433,37.549,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:23652/","MVZ:Mamm:23652","specimen","Puma concolor californica","United States","California",1916-01-20,"1916-01-20T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:23652","Wawona, Yosemite National Park",1609,"Collector(s): Jay C. Bruce","2015-02-05T00:48:41.049802","ecoengine"
"58",-120.855,38.4409,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:175987/","MVZ:Mamm:175987","specimen","Puma concolor californica","United States","California",1985-09-24,"1985-09-24T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:175987","Drytown",160,"Collector(s): Robert E. Jones","2015-02-05T00:52:24.693179","ecoengine"
